MatchID,Map,Player,Team,Agent,Rating,Average Combat Score,Kills,Deaths,Assists,First Kills,First Deaths
13,Haven,BeYN,DRX,sova,0.73,118,8,16,6,2,3
13,Sunset,Karon,GEN,omen,1.17,232,20,16,8,3,1
13,Sunset,Munchkin,GEN,kayo,1.10,174,11,15,19,2,2
13,Sunset,t3xture,GEN,jett,1.07,251,18,17,7,4,3
13,Sunset,Meteor,GEN,cypher,0.76,136,10,18,5,2,3
13,Sunset,Lakia,GEN,sova,0.67,178,13,18,1,0,3
13,Sunset,BeYN,DRX,sova,1.59,309,27,11,3,1,0
13,Sunset,MaKo,DRX,omen,1.20,219,17,13,5,4,2
13,Sunset,Flashback,DRX,cypher,1.00,179,14,14,4,3,2
13,Sunset,Foxy9,DRX,breach,0.92,168,15,15,12,1,2
13,Sunset,BuZz,DRX,neon,0.59,135,11,19,5,3,5
13,Bind,Meteor,GEN,cypher,1.60,295,20,8,5,3,2
13,Bind,Munchkin,GEN,viper,1.47,209,13,7,7,3,0
13,Bind,Lakia,GEN,skye,1.40,190,14,5,2,2,1
13,Bind,t3xture,GEN,raze,1.08,182,13,9,3,3,2
13,Bind,Karon,GEN,brimstone,0.89,135,8,10,6,2,1
13,Bind,BuZz,DRX,raze,1.09,220,15,12,3,2,2
13,Bind,Foxy9,DRX,brimstone,0.76,76,6,12,5,0,4
13,Bind,Flashback,DRX,cypher,0.73,161,9,15,3,2,3
13,Bind,BeYN,DRX,skye,0.64,85,4,14,2,1,0
13,Bind,MaKo,DRX,viper,0.47,102,5,15,4,1,4
14,Ascent,f0rsakeN,PRX,harbor,1.72,292,19,9,8,1,0
14,Ascent,something,PRX,reyna,1.69,320,19,7,3,5,1
14,Ascent,mindfreak,PRX,omen,1.37,154,10,4,4,1,1
14,Ascent,Jinggg,PRX,raze,1.19,224,13,9,5,2,2
14,Ascent,d4v41,PRX,skye,1.10,174,11,8,5,1,2
14,Ascent,primmie,TLN,jett,0.66,191,11,15,0,4,3
14,Ascent,JitBoyS,TLN,omen,0.57,153,9,15,1,0,1
14,Ascent,Crws,TLN,sova,0.52,166,7,14,2,1,2
14,Ascent,Governor,TLN,kayo,0.48,97,6,14,1,0,2
14,Ascent,ban,TLN,killjoy,0.42,109,4,14,3,1,2
14,Sunset,something,PRX,gekko,1.62,265,17,8,6,1,0
14,Sunset,d4v41,PRX,sage,1.58,288,17,8,10,3,1
14,Sunset,Jinggg,PRX,raze,1.30,290,18,10,4,1,1
14,Sunset,f0rsakeN,PRX,breach,1.07,206,12,11,9,1,3
14,Sunset,mindfreak,PRX,omen,0.75,138,8,12,9,1,4
14,Sunset,JitBoyS,TLN,omen,0.89,241,13,15,4,1,1
14,Sunset,primmie,TLN,cypher,0.86,190,11,14,6,1,2
14,Sunset,Governor,TLN,neon,0.82,156,9,13,1,5,3
14,Sunset,ban,TLN,breach,0.80,195,9,15,9,1,0
14,Sunset,Crws,TLN,sova,0.51,155,7,15,3,1,1
15,Abyss,BeYN,DRX,sova,1.01,209,13,15,6,2,2
15,Abyss,Flashback,DRX,cypher,0.98,263,17,16,3,4,3
15,Abyss,BuZz,DRX,jett,0.87,174,12,14,2,2,3
15,Abyss,MaKo,DRX,omen,0.73,166,9,15,7,0,1
15,Abyss,Foxy9,DRX,kayo,0.68,170,11,17,7,2,1
15,Abyss,something,PRX,breach,1.33,218,17,10,6,1,0
15,Abyss,Jinggg,PRX,phoenix,1.29,207,17,10,1,3,1
15,Abyss,f0rsakeN,PRX,neon,1.23,261,17,15,8,5,3
15,Abyss,d4v41,PRX,kayo,1.09,196,14,13,12,0,3
15,Abyss,mindfreak,PRX,omen,0.80,168,11,14,8,1,3
15,Lotus,BuZz,DRX,neon,1.12,246,19,18,4,1,5
15,Lotus,Foxy9,DRX,breach,0.98,152,12,18,15,1,1
15,Lotus,Flashback,DRX,chamber,0.87,159,14,15,2,1,4
15,Lotus,MaKo,DRX,omen,0.85,173,13,17,7,2,3
15,Lotus,BeYN,DRX,fade,0.82,165,12,19,8,2,3
15,Lotus,Jinggg,PRX,neon,1.37,330,28,14,3,6,2
15,Lotus,f0rsakeN,PRX,kayo,1.35,228,18,13,16,1,1
15,Lotus,mindfreak,PRX,omen,1.08,172,13,13,12,5,0
15,Lotus,d4v41,PRX,fade,0.97,161,12,15,12,1,0
15,Lotus,something,PRX,jett,0.95,191,16,15,4,3,4
15,Bind,MaKo,DRX,brimstone,1.39,277,21,15,11,3,1
15,Bind,BuZz,DRX,raze,1.27,237,20,13,2,4,3
15,Bind,Foxy9,DRX,gekko,1.05,178,14,14,7,2,3
15,Bind,Flashback,DRX,viper,1.00,216,17,15,4,2,1
15,Bind,BeYN,DRX,fade,0.64,68,6,13,3,1,3
15,Bind,something,PRX,gekko,1.21,212,16,16,5,4,1
15,Bind,f0rsakeN,PRX,yoru,1.04,261,22,16,0,3,2
15,Bind,d4v41,PRX,viper,0.90,168,12,14,8,2,5
15,Bind,mindfreak,PRX,omen,0.85,150,13,15,2,0,2
15,Bind,Jinggg,PRX,raze,0.47,98,7,18,3,2,2
15,Icebox,Flashback,DRX,killjoy,1.51,265,23,12,5,3,1
15,Icebox,Foxy9,DRX,gekko,1.19,272,21,19,8,2,1
15,Icebox,MaKo,DRX,viper,1.00,203,16,16,6,3,4
