teamId,team
1,KRÜ Esports
2,Cloud9
3,100 Thieves
4,Sentinels
5,LEVIATÁN
6,G2 Esports
7,Gen.G
8,Rex Regum Qeon
9,Talon Esports
10,Team Secret
11,Paper Rex
12,DRX
13,Trace Esports
14,All Gamers
15,Bilibili Gaming
16,JDG Esports
17,FunPlus Phoenix
18,EDward Gaming
19,Team Vitality
20,Natus Vincere
21,FNATIC
22,Karmine Corp
23,Team Heretics
24,FUT Esports
